Throughput,Cons_Node0,Cons_Node1,Cons_Node2,Cons_Total
565.57,39.7011,72.4662,39.7011,18835.19853
567.629,39.9293,72.9226,39.9293,18987.97973
569.65,40.1583,73.3807,40.1583,19141.67703
571.686,40.3882,73.8403,40.3882,19296.29373
573.735,40.6188,74.3016,40.6188,19451.83293
575.772,40.8503,74.7646,40.8503,19608.29813
577.824,41.0826,75.2292,41.0826,19765.69253
579.862,41.3157,75.6955,41.3157,19924.01943
581.887,41.5497,76.1633,41.5497,20083.28213
583.925,41.7844,76.6328,41.7844,20243.48373
585.95,42.02,77.104,42.02,20404.62773
587.988,42.2564,77.5768,42.2564,20566.71733
590.041,42.4936,78.0512,42.4936,20729.75573
592.078,42.7316,78.5273,42.7316,20893.74623
594.13,42.9705,79.005,42.9705,21058.69223
596.167,43.2102,79.4843,43.2102,21224.59693
598.188,43.4507,79.9653,43.4507,21391.46363
600.222,43.692,80.4479,43.692,21559.29553
602.27,43.9341,80.9322,43.9341,21728.09593
604.302,44.177,81.4181,44.177,21897.86803
606.348,44.4208,81.9056,44.4208,22068.61523
608.377,44.6654,82.3948,44.6654,22240.34083
610.419,44.9108,82.8856,44.9108,22413.04803
612.444,45.157,83.3781,45.157,22586.74013
614.483,45.4041,83.8722,45.4041,22761.42053
616.535,45.652,84.3679,45.6519,22937.09233
618.569,45.9006,84.8653,45.9006,23113.75883
620.616,46.1501,85.3643,46.1501,23291.42333
622.645,46.4005,85.8649,46.4005,23470.08923
624.687,46.6516,86.3672,46.6516,23649.75963
626.742,46.9036,86.8712,46.9036,23830.43803
628.778,47.1564,87.3767,47.1564,24012.12753
630.794,47.41,87.8839,47.41,24194.83143
632.857,47.6644,88.3928,47.6644,24378.55303
634.865,47.9196,88.9033,47.9196,24563.29553
636.921,48.1757,89.4154,48.1757,24749.06233
638.956,48.4326,89.9292,48.4326,24935.85673
641.003,48.6903,90.4446,48.6903,25123.68193
643.03,48.9488,90.9616,48.9488,25312.54113
645.069,49.2081,91.4803,49.2081,25502.43763
647.122,49.4683,92.0006,49.4683,25693.37483
649.152,49.7293,92.5226,49.7293,25885.35603
651.195,49.9911,93.0462,49.9911,26078.38443
653.215,50.2537,93.5714,50.2537,26272.46323
655.248,50.5171,94.0982,50.5171,26467.59563
657.294,50.7814,94.6268,50.7814,26663.78523
659.353,51.0465,95.1569,51.0465,26861.03513
661.388,51.3124,95.6887,51.3124,27059.34863
663.399,51.5791,96.2221,51.5791,27258.72893
665.459,51.8466,96.7572,51.8466,27459.17933
667.494,52.115,97.2939,52.115,27660.70323
669.543,52.3841,97.8323,52.3841,27863.30373
671.566,52.6541,98.3723,52.6541,28066.98423
673.602,52.9249,98.9139,52.9249,28271.74793
675.65,53.1966,99.4571,53.1966,28477.59823
677.672,53.469,100.002,53.469,28684.53823
679.706,53.7423,100.549,53.7423,28892.57183
681.753,54.0164,101.097,54.0164,29101.70163
683.812,54.2913,101.647,54.2913,29311.93123
685.844,54.567,102.198,54.567,29523.26323
687.888,54.8436,102.751,54.8436,29735.70143
689.905,55.1209,103.306,55.1209,29949.24923
691.934,55.3991,103.862,55.3991,30163.90943
693.975,55.6781,104.42,55.6781,30379.68563
696.027,55.9579,104.98,55.9579,30596.58143
698.052,56.2386,105.541,56.2386,30814.59963
700.088,56.52,106.104,56.52,31033.74363
702.136,56.8023,106.669,56.8023,31254.01723
704.196,57.0854,107.235,57.0854,31475.42303
706.227,57.3694,107.803,57.3694,31697.96483
708.269,57.6541,108.372,57.6541,31921.64503
710.281,57.9397,108.943,57.9397,32146.46743
712.347,58.2261,109.516,58.226,32372.43553
714.383,58.5133,110.091,58.5133,32599.55313
716.387,58.8013,110.667,58.8013,32827.82273
718.446,59.0901,111.244,59.0901,33057.24693
720.473,59.3798,111.824,59.3798,33287.83053
722.512,59.6702,112.404,59.6702,33519.57493
724.562,59.9615,112.987,59.9615,33752.48493
726.58,60.2536,113.571,60.2536,33986.56313
728.654,60.5466,114.157,60.5466,34221.81333
730.695,60.8403,114.745,60.8403,34458.23893
732.702,61.1349,115.334,61.1349,34695.84273
734.766,61.4303,115.925,61.4303,34934.62833
736.796,61.7265,116.517,61.7265,35174.59833
738.837,62.0236,117.111,62.0236,35415.75653
740.844,62.3214,117.707,62.3214,35658.10633
742.908,62.6201,118.304,62.6201,35901.65053
744.937,62.9196,118.903,62.9196,36146.39273
746.977,63.2199,119.504,63.2199,36392.33653
749.029,63.521,120.106,63.521,36639.48453
